year,speciesCode,stratum,percent_diff
1988,10210,10,-1.071614144756087
1988,10261,10,NA
1988,21720,10,-1.0716141447560952
1988,21740,10,-1.071614144756092
1988,10210,20,-0.40498256245994824
1988,10261,20,NA
1988,21720,20,-0.40498256245996617
1988,21740,20,-0.4049825624599679
1988,10210,31,-0.4786295852364565
1988,10261,31,NA
1988,21720,31,-0.4786295852364583
1988,21740,31,-0.4786295852364535
1988,10210,32,-0.8269608769936287
1988,10261,32,NA
1988,21720,32,-0.8269608769936225
1988,21740,32,-0.8269608769936232
1988,10210,41,0.6274724284006679
1988,10261,41,NA
1988,21720,41,0.6274724284006613
1988,21740,41,0.6274724284006716
1988,10210,42,-0.46241970977958774
1988,10261,42,NA
1988,21720,42,-0.4624197097795959
1988,21740,42,-0.46241970977959507
1988,10210,43,0.20857517110333967
1988,10261,43,NA
1988,21720,43,0.2085751711033267
1988,21740,43,0.20857517110333476
1988,10210,50,NA
1988,10261,50,NA
1988,21720,50,1.942500997628224
1988,21740,50,1.9425009976282308
1988,10210,61,0.40482979915708867
1988,10261,61,NA
1988,21720,61,0.4048297991570926
1988,21740,61,0.40482979915709055
1988,10210,62,NA
1988,10261,62,NA
1988,21720,62,-0.5116446044438927
1988,21740,62,-0.5116446044438853
1988,10210,82,0.0020065188503334925
1988,10261,82,NA
1988,21720,82,0.002006518850331602
1988,21740,82,0.0020065188503311333
1988,10210,90,0.2499942370455338
1988,10261,90,NA
1988,21720,90,0.24999423704551751
1988,21740,90,0.24999423704551826
1989,10210,10,-1.0716141447560863
1989,10261,10,NA
1989,21720,10,-1.071614144756098
1989,21740,10,-1.0716141447560958
1989,10210,20,-0.4049825624599646
1989,10261,20,NA
1989,21720,20,-0.4049825624599675
1989,21740,20,-0.4049825624599644
1989,10210,31,-0.4786295852364609
1989,10261,31,NA
1989,21720,31,-0.47862958523645155
1989,21740,31,-0.4786295852364607
1989,10210,32,-0.8269608769936394
1989,10261,32,NA
1989,21720,32,-0.8269608769936203
1989,21740,32,-0.8269608769936223
1989,10210,41,0.6274724284006734
1989,10261,41,NA
1989,21720,41,0.6274724284006687
1989,21740,41,0.6274724284006709
1989,10210,42,-0.46241970977959784
1989,10261,42,NA
1989,21720,42,-0.4624197097795814
1989,21740,42,-0.4624197097796084
1989,10210,43,0.2085751711033273
1989,10261,43,NA
1989,21720,43,0.20857517110333626
1989,21740,43,0.20857517110333357
1989,10210,50,NA
1989,10261,50,NA
1989,21720,50,1.9425009976282366
1989,21740,50,1.942500997628237
1989,10210,61,NA
1989,10261,61,NA
1989,21720,61,0.4048297991570923
1989,21740,61,0.4048297991570982
1989,10210,62,-0.5116446044438913
1989,10261,62,NA
1989,21720,62,-0.5116446044438946
1989,21740,62,-0.5116446044438973
1989,10210,82,0.0020065188503333264
1989,10261,82,NA
1989,21720,82,0.002006518850322002
1989,21740,82,0.0020065188503403013
1989,10210,90,0.2499942370455149
1989,10261,90,NA
1989,21720,90,0.24999423704553667
1989,21740,90,0.24999423704553433
1990,10210,10,-1.0716141447560847
1990,10261,10,NA
