OBJECTID,Stratum,Shape_Length,Shape_Area,Area_KM2
1,81,1139495.141549556283280,38351890394.753578186035156,38351.890394753580040
2,70,1399297.055499862181023,79259889169.309524536132812,79259.889169309521094
3,71,1727872.396487274440005,81255025230.559997558593750,81255.025230560000637
