OBJECTID,gridcode,Stratum,Area_KM2,lon_centroid,lat_centroid,Shape_Length,Shape_Area,lon,lat
6676,65810084,71,13.719616000000000,-636878.206900000572205,1560859.775399999693036,0.217730144889342,0.002467637386109,-166.877638091831670,63.457750546747299
6677,68475992,71,13.719616000000000,-633174.206900000572205,1560859.775399999693036,0.217737630526530,0.002468183913474,-166.804591146731667,63.464121592475678
6678,21242616,71,13.719616000000000,-629470.206900000572205,1560859.775399999693036,0.217744994509586,0.002468727589908,-166.731512815711142,63.470456875860116
6679,74855368,71,13.719616000000000,-625766.206900000572205,1560859.775399999693036,0.217752240273419,0.002469268498048,-166.658403255200568,63.476756373662823
6680,92682168,71,13.719616000000000,-622062.206900000572205,1560859.775399999693036,0.217759366590223,0.002469806585412,-166.585262623791436,63.483020062278690
6681,74066472,71,13.719616000000000,-618358.206900000572205,1560859.775399999693036,0.217766377633859,0.002470341862931,-166.512091077768105,63.489247918674167
6682,88862944,71,13.719616000000000,-614654.206900000572205,1560859.775399999693036,0.217773271461632,0.002470874328721,-166.438888776229476,63.495439919398279
6683,15469000,71,13.719616000000000,-610950.206900000572205,1560859.775399999693036,0.217780052821585,0.002471404027811,-166.365655877318034,63.501596041024769
6684,19539152,71,13.719616000000000,-607246.206900000572205,1560859.775399999693036,0.217786718665255,0.002471930867605,-166.292392540050628,63.507716260876919
6685,62432480,71,13.719616000000000,-603542.206900000572205,1560859.775399999693036,0.217793270189779,0.002472454827071,-166.219098924032608,63.513800556269715
6686,70397128,71,13.719616000000000,-599838.206900000572205,1560859.775399999693036,0.217799707766847,0.002472975889000,-166.145775189144246,63.519848904064872
6687,33290452,71,13.719616000000000,-596134.206900000572205,1560859.775399999693036,0.217806036386515,0.002473494168839,-166.072421495434867,63.525861281994551
6688,88681712,71,13.719616000000000,-592430.206900000572205,1560859.775399999693036,0.217812254477435,0.002474009586305,-165.999038004161150,63.531837667021975
6689,61487604,71,13.719616000000000,-588726.206900000572205,1560859.775399999693036,0.217818363099201,0.002474522126737,-165.925624875727380,63.537778036579596
6690,7434486,71,13.719616000000000,-585022.206900000572205,1560859.775399999693036,0.217824363470384,0.002475031823189,-165.852182272497629,63.543682368933034
6691,83263024,71,13.719616000000000,-581318.206900000572205,1560859.775399999693036,0.217830256539401,0.002475538617237,-165.778710356076289,63.549550641909278
6692,36422864,71,13.719616000000000,-577614.206900000572205,1560859.775399999693036,0.217836042518157,0.002476042532055,-165.705209288376125,63.555382833262811
6693,31155126,71,13.719616000000000,-573910.206900000572205,1560859.775399999693036,0.217841724136004,0.002476543579158,-165.631679233571816,63.561178920472358
6694,21125970,71,13.719616000000000,-570206.206900000572205,1560859.775399999693036,0.217847300026306,0.002477041680030,-165.558120353607308,63.566938882210330
6695,82863808,71,13.719616000000000,-566502.206900000572205,1560859.775399999693036,0.217852772841872,0.002477536890565,-165.484532812613367,63.572662696954026
6696,93419800,71,13.719616000000000,-562798.206900000572205,1560859.775399999693036,0.217858144166571,0.002478029219706,-165.410916774589850,63.578350342703452
6697,81287440,71,13.719616000000000,-559094.206900000572205,1560859.775399999693036,0.217863414470087,0.002478518662106,-165.337272403981132,63.584001797888874
6698,50645400,71,13.719616000000000,-555390.206900000572205,1560859.775399999693036,0.217868584325191,0.002479005183278,-165.263599866076106,63.589617041371852
6699,77101288,71,13.719616000000000,-551686.206900000572205,1560859.775399999693036,0.217873654797180,0.002479488737444,-165.189899325486323,63.595196051478510
6700,25252798,71,13.719616000000000,-547982.206900000572205,1560859.775399999693036,0.217878624215119,0.002479969326966,-165.116170947613568,63.600738807458427
6701,85355744,71,13.719616000000000,-544278.206900000572205,1560859.775399999693036,0.217883498994461,0.002480447056395,-165.042414899789549,63.606245288354188
6702,75577728,71,13.719616000000000,-540574.206900000572205,1560859.775399999693036,0.217888278050885,0.002480921834709,-164.968631347436826,63.611715472755719
6703,13234879,71,13.719616000000000,-536870.206900000572205,1560859.775399999693036,0.217892958760825,0.002481393628335,-164.894820457779076,63.617149340128051
6704,74403944,71,13.719616000000000,-533166.206900000572205,1560859.775399999693036,0.217897548281392,0.002481862498799,-164.820982398039547,63.622546869936102
6705,9454194,71,13.719616000000000,-529462.206900000572205,1560859.775399999693036,0.217902043277135,0.002482328406522,-164.747117335602240,63.627908041854731
6706,9956739,71,13.719616000000000,-525758.206900000572205,1560859.775399999693036,0.217906444871926,0.002482791323624,-164.673225438806895,63.633232835174063
6707,97706344,71,13.719616000000000,-522054.206900000572205,1560859.775399999693036,0.217910755423387,0.002483251262274,-164.599306876386549,63.638521229187731
6708,98883216,71,13.719616000000000,-518350.206900000572205,1560859.775399999693036,0.217914976011565,0.002483708242584,-164.525361816633421,63.643773204329342
6709,83406832,71,13.719616000000000,-514646.206900000572205,1560859.775399999693036,0.217919107848504,0.002484162235171,-164.451390429285567,63.648988740008434
6710,77131112,71,13.719616000000000,-510942.206900000572205,1560859.775399999693036,0.217923150636337,0.002484613227238,-164.377392882976579,63.654167816660852
6711,80963480,71,13.719616000000000,-507238.206900000572205,1560859.775399999693036,0.217927108463617,0.002485061306053,-164.303369348165688,63.659310414332381
6712,19162664,71,13.719616000000000,-503534.206900000572205,1560859.775399999693036,0.217930978652182,0.002485506335207,-164.229319995788643,63.664416513599186
6713,96213032,71,13.719616000000000,-499830.206900000572205,1560859.775399999693036,0.217934761862019,0.002485948300220,-164.155244995929706,63.669486094611941
6714,22428158,71,13.719616000000000,-496126.206900000572205,1560859.775399999693036,0.217938462165632,0.002486387279462,-164.081144519264228,63.674519137764612
6715,51570488,71,13.719616000000000,-492422.206900000572205,1560859.775399999693036,0.217942079439628,0.002486823276895,-164.007018737897141,63.679515624028127
6716,53772948,71,13.719616000000000,-488718.206900000572205,1560859.775399999693036,0.217945615301898,0.002487256258986,-163.932867824039391,63.684475534142166
6717,64432100,71,13.719616000000000,-485014.206900000572205,1560859.775399999693036,0.217949069154941,0.002487686189678,-163.858691949118537,63.689398848916511
6718,76981416,71,13.719616000000000,-481310.206900000572205,1560859.775399999693036,0.217952444227077,0.002488113128961,-163.784491285934735,63.694285549506610
6719,74492016,71,13.719616000000000,-477606.206900000572205,1560859.775399999693036,0.217955739807535,0.002488537027114,-163.710266006683753,63.699135617424680
6720,87829152,71,13.719616000000000,-473902.206900000572205,1560859.775399999693036,0.217958957457768,0.002488957896217,-163.636016286403304,63.703949033287373
6721,60565232,71,13.719616000000000,-470198.206900000572205,1560859.775399999693036,0.217962098092287,0.002489375688312,-163.561742297188459,63.708725779132806
6722,80299264,71,13.719616000000000,-466494.206900000572205,1560859.775399999693036,0.217965160598499,0.002489790371057,-163.487444213629090,63.713465836210126
6723,13541770,71,13.719616000000000,-462790.206900000572205,1560859.775399999693036,0.217968149734786,0.002490202048758,-163.413122209682427,63.718169186339736
6724,8332338,71,13.719616000000000,-459086.206900000572205,1560859.775399999693036,0.217971064052714,0.002490610660704,-163.338776460799266,63.722835811392734
6725,84517488,71,13.719616000000000,-455382.206900000572205,1560859.775399999693036,0.217973906882985,0.002491016230554,-163.264407141436919,63.727465693188861
6726,71200296,71,13.719616000000000,-451678.206900000572205,1560859.775399999693036,0.217976676887771,0.002491418708251,-163.190014427231176,63.732058813717479
6727,23707234,71,13.719616000000000,-447974.206900000572205,1560859.775399999693036,0.217979375367625,0.002491818084045,-163.115598493955787,63.736615155180765
6728,26686904,71,13.719616000000000,-444270.206900000572205,1560859.775399999693036,0.217982004681762,0.002492214397108,-163.041159517519390,63.741134700492779
6729,21280398,71,13.719616000000000,-440566.206900000572205,1560859.775399999693036,0.217984564879885,0.002492607625909,-162.966697674467412,63.745617431502296
6730,83406128,71,13.719616000000000,-436862.206900000572205,1560859.775399999693036,0.217987055949892,0.002492997741871,-162.892213141575155,63.750063330910841
