OBJECTID,gridcode,Area_KM2,lon_centroid,lat_centroid,Shape_Length,Shape_Area,lon,lat
1,17750796,1.565804742337608,-439636.465333333821036,2618729.062933333218098,0.169000611675893,0.000435301933011,-167.184531999666632,73.225518086333409
2,646054,6.998704296002843,-436614.673451045819093,2619347.156744261737913,0.251022362738589,0.001947033023072,-167.099854279363342,73.236717238455171
3,66487056,8.486377071324858,-433257.971680367016234,2619507.317509336397052,0.270644575516588,0.002362228140111,-167.002645597453977,73.244301280056774
4,22697300,5.742625299200430,-429601.693038065684959,2619141.716413806192577,0.254808569737797,0.001598767568207,-166.893558489665821,73.247564181666547
5,61787016,2.998702099201120,-426032.648302885412704,2618784.811940288171172,0.238811329293488,0.000834983326463,-166.787042391149726,73.250695553224574
6,90660688,0.482208221378673,-423166.232233333692420,2618498.170333333313465,0.135979215994370,0.000134287464321,-166.701477349999976,73.253176802333414
7,36490808,0.102820348240250,-450062.539333333610557,2614744.456866666674614,0.043158170366603,0.000028496165255,-167.464896320666639,73.169702067000060
8,14295518,3.880609683200761,-447527.778747202421073,2615262.930653818417341,0.231920814214006,0.001075947103093,-167.394179547936631,73.179183499118238
9,72459400,9.493179949199051,-444087.716595640522428,2615966.579736583400518,0.265140149575771,0.002634216263656,-167.298125914340005,73.192023704045482
10,6413755,13.539945292025250,-440545.777013709011953,2616476.895866654813290,0.291147774234071,0.003760196453050,-167.197852928275637,73.203243225743279
11,95964832,13.719616000000000,-436862.206900000572205,2616499.775399999693036,0.297075248577056,0.003811373426009,-167.090482206248453,73.210209857325225
12,94367312,13.719616000000000,-433158.206900000572205,2616499.775399999693036,0.297049263695866,0.003812857025702,-166.982310523200113,73.216951345281416
13,13678563,13.719616000000000,-429454.206900000572205,2616499.775399999693036,0.297022926297629,0.003814329742945,-166.874069017946425,73.223638022715221
14,23533464,13.719616000000000,-425750.206900000572205,2616499.775399999693036,0.296996241918795,0.003815791501634,-166.765758198735966,73.230269826845060
15,44891916,13.492186677822575,-422068.951338035461958,2616470.252111149486154,0.295342749054923,0.003754322046076,-166.657878749939982,73.236537455157631
16,24748140,11.230471699202500,-418417.622933308593929,2616171.309403331018984,0.286432267919190,0.003125335518225,-166.549299327794188,73.240222861015482
17,32079682,8.486548499203190,-414738.006910312629770,2615803.347801031544805,0.270474813697801,0.002362123404994,-166.439467971521140,73.243270949570899
18,83596160,5.742625299200430,-411081.693038065684959,2615437.716413806192577,0.254582357895457,0.001598644266519,-166.330301492264169,73.246243951996121
19,19161068,2.998702099201120,-407512.648302885412704,2615080.811940288171172,0.238754394459056,0.000834905138154,-166.223711892969078,73.249092415092264
20,84503184,0.482208221378673,-404646.232233333692420,2614794.170333333313465,0.136003849213571,0.000134273101179,-166.138089608333303,73.251346398666726
21,58064408,1.134625746928980,-458019.280100000381935,2611264.941699999850243,0.142934586471627,0.000313580672345,-167.675177788999974,73.122869768333373
22,91393776,6.375084966001049,-455110.459416239522398,2611859.927736586891115,0.246053921875742,0.001763048522400,-167.594320189537854,73.133827360501343
23,93940352,11.884834816941884,-451546.417951359297149,2612572.913846818730235,0.277539810760552,0.003289710405669,-167.495052751994251,73.147073919515393
24,68235680,13.719616000000000,-447974.206900000572205,2612795.775399999693036,0.296721538177269,0.003799445604389,-167.392507944779567,73.155807552450511
25,20841006,13.719616000000000,-444270.206900000572205,2612795.775399999693036,0.296696848920135,0.003800952359596,-167.284716705238111,73.162699634286255
26,8708959,13.719616000000000,-440566.206900000572205,2612795.775399999693036,0.296671782775499,0.003802448518482,-167.176854475015148,73.169537194340919
27,31202442,13.719616000000000,-436862.206900000572205,2612795.775399999693036,0.296646346891533,0.003803933880465,-167.068921753792523,73.176320168284676
28,94342824,13.719616000000000,-433158.206900000572205,2612795.775399999693036,0.296620552371232,0.003805408467578,-166.960919042092200,73.183048491745552
29,59589256,13.719616000000000,-429454.206900000572205,2612795.775399999693036,0.296594406958776,0.003806872230443,-166.852846844988335,73.189722101386963
30,14207175,13.719616000000000,-425750.206900000572205,2612795.775399999693036,0.296567921427793,0.003808325204897,-166.744705666633820,73.196340934582707
31,72047680,13.719616000000000,-422046.206900000572205,2612795.775399999693036,0.296541105153108,0.003809767281724,-166.636496017556254,73.202904928068293
32,43120008,13.719616000000000,-418342.206900000572205,2612795.775399999693036,0.296513966729672,0.003811198385952,-166.528218405292392,73.209414020154824
33,93737560,13.719616000000000,-414638.206900000572205,2612795.775399999693036,0.296486516910142,0.003812618531665,-166.419873343570657,73.215868148876055
34,26718964,13.719616000000000,-410934.206900000572205,2612795.775399999693036,0.296458764667649,0.003814027672747,-166.311461345376102,73.222267252610607
35,5740065,13.719616000000000,-407230.206900000572205,2612795.775399999693036,0.296430720276563,0.003815425819677,-166.202982928261520,73.228611270785606
36,87386360,13.492186677822575,-403548.951338035461958,2612766.252111149486154,0.294743141027908,0.003753897858470,-166.094947114745793,73.234592244043029
37,79765432,11.230471699202500,-399897.622933308593929,2612467.309403331018984,0.285852719093731,0.003124928390186,-165.986282813754855,73.237989257790801
38,71894080,8.486548499203190,-396218.006910312629770,2612099.347801031544805,0.270063207071121,0.002361776213606,-165.876385527844036,73.240745658798474
39,62416384,5.742625299200430,-392561.693038065684959,2611733.716413806192577,0.254336791649970,0.001598382606100,-165.767156538406056,73.243428736444613
40,95114912,2.998702099201120,-388992.648302885354497,2611376.811940288171172,0.238672929570982,0.000834754773179,-165.660508798087562,73.245994117040752
41,79219560,0.482208221378673,-386126.232233333692420,2611090.170333333313465,0.136012088129611,0.000134247174270,-165.574841619333313,73.248020703666711
42,70474480,0.018096463216695,-468445.354166667268146,2607280.335633333306760,0.017988860321448,0.000004985849381,-167.952848114333307,73.066462380000061
43,10243668,3.256990538402103,-465962.300714772893116,2607788.232947655022144,0.226795731585236,0.000897679576264,-167.884133401727553,73.075900772073325
44,7818588,8.869560804400392,-462594.885695661709178,2608477.022388804703951,0.260273603184454,0.002446592963966,-167.790869454114016,73.088674775544774
45,18642500,13.347505156662729,-459047.109655107604340,2609045.271657423116267,0.287665827051413,0.003684994990393,-167.691540006562093,73.100656444817886
46,90566040,13.719616000000000,-455382.206900000572205,2609091.775399999693036,0.296341579812262,0.003789038178983,-167.585547737598915,73.108046205453704
47,1028180,13.719616000000000,-451678.206900000572205,2609091.775399999693036,0.296317841661652,0.003790556994005,-167.478066738551746,73.115033554993019
